"macrophage_cluster_id","final_label","label_status"
"0","Mac-FOLR2-LYVE1-resident","Internal evidence-supported"
"1","Mac-Cycling","Internal evidence-supported"
"2","Mac-OLFML3-CX3CR1-resident","Internal evidence-supported"
"3","Mac-TNF-CCL4-inflammatory","Internal evidence-supported"
"4","C7-APOBEC3A-like","Xu-like; marker-supported"
"5","Mono-FCN1-S100A8-S100A9","Internal evidence-supported"
"6","C6-SLC2A1-like","Xu-like; marker-supported"
"7","Mac-NUPR1-IGF2-stress","Internal evidence-supported"
"8","Myeloid-CLEC10A-APC","Internal evidence-supported"
"9","Mono-CDKN1C","Internal evidence-supported"
